Batch No.,Datetime,Data Parameter,Name of Process Step,Actual,Target,Batch Status,Bike Type
7000,2021-09-23 12:54:48,Gas,Painting 2,6324,,1,Mountain
7000,2021-09-23 12:56:01,Pressure,Painting 2,,620,1,Mountain
7000,2021-09-23 13:00:41,Pressure,Painting 2,504,,1,Mountain
7000,2021-09-23 13:02:14,Pressure,Painting 2,405,,1,Mountain
7000,2021-09-23 13:27:59,Temperature,Gloss Finish,,200.2,1,Mountain
7000,2021-09-23 13:39:42,Gas,Gloss Finish,,11700,1,Mountain
7000,2021-09-23 13:40:37,Voltage,Gloss Finish,,180,1,Mountain
7000,2021-09-23 13:48:16,Voltage,Gloss Finish,266,,1,Mountain
7000,2021-09-23 14:03:29,Gas,Gloss Finish,1269,,1,Mountain
7000,2021-09-23 14:12:34,Gas,Gloss Finish,1230,,1,Mountain
7000,2021-09-23 14:18:01,Gas,Gloss Finish,3000,,1,Mountain
7000,2021-09-23 14:35:54,Temperature,Gloss Finish,101.4,,1,Mountain
7000,2021-09-23 14:39:42,Temperature,Gloss Finish,196,,1,Mountain
7000,2021-09-23 14:40:14,Temperature,Gloss Finish,151.5,,1,Mountain
7000,2021-09-23 14:43:14,Voltage,Shutter Closing,,135,1,Mountain
7000,2021-09-23 14:44:22,Voltage,Shutter Closing,123.5,,1,Mountain
7000,2021-09-23 14:57:22,Voltage,Shutter Closing,122,,1,Mountain
7000,2021-09-23 14:58:55,Current,Shutter Closing,,6.325,1,Mountain
7000,2021-09-23 14:59:13,Current,Shutter Closing,6.36,,1,Mountain
7000,2021-09-23 15:06:35,Current,Shutter Closing,3.99,,1,Mountain
7000,2021-09-23 15:08:53,Current,Shutter Closing,3.996,,1,Mountain
7001,2021-09-24 09:46:27,Temperature,Warming Up,,136,1,Road
7001,2021-09-24 09:48:22,Temperature,Warming Up,85.6,,1,Road
7001,2021-09-24 09:53:47,Temperature,Warming Up,71.1,,1,Road
7001,2021-09-24 09:56:30,Temperature,Warming Up,88,,1,Road
7001,2021-09-24 09:59:22,Temperature,Warming Up,153.3,,1,Road
7001,2021-09-24 09:59:37,Temperature,Warming Up,75,,1,Road
7001,2021-09-24 10:04:33,Current,Shutter Open,,5.624,1,Road
7001,2021-09-24 10:04:44,Current,Shutter Open,6.942,,1,Road
7001,2021-09-24 10:09:50,Current,Shutter Open,11.06,,1,Road
7001,2021-09-24 10:11:35,Current,Shutter Open,9.52,,1,Road
7001,2021-09-24 10:13:42,Current,Shutter Open,11.466,,1,Road
7001,2021-09-24 10:15:23,Voltage,Shutter Open,,219,1,Road
7001,2021-09-24 10:18:27,Voltage,Shutter Open,93,,1,Road
7001,2021-09-24 10:21:28,Voltage,Shutter Open,217.5,,1,Road
7001,2021-09-24 10:22:25,Voltage,Shutter Open,295,,1,Road
7001,2021-09-24 10:23:06,Voltage,Shutter Open,438,,1,Road
7001,2021-09-24 10:25:48,Voltage,Shutter Open,356.4,,1,Road
7001,2021-09-24 10:28:46,Voltage,Shutter Open,306,,1,Road
7001,2021-09-24 10:34:54,Voltage,Shutter Open,,392,1,Road
7001,2021-09-24 10:38:17,Voltage,Shutter Open,364,,1,Road
7001,2021-09-24 10:39:42,Gas,Painting 1,,4200,1,Road
7001,2021-09-24 10:40:19,Gas,Painting 1,5240,,1,Road
7001,2021-09-24 10:45:00,Gas,Painting 1,2993,,1,Road
7001,2021-09-24 10:55:00,Gas,Painting 1,3705,,1,Road
7001,2021-09-24 10:58:39,Pressure,Painting 1,,660,1,Road
7001,2021-09-24 10:59:27,Pressure,Painting 1,618,,1,Road
7001,2021-09-24 11:01:06,Pressure,Painting 1,545,,1,Road
7001,2021-09-24 11:03:58,Gas,Painting 2,,8100,1,Road
7001,2021-09-24 11:04:23,Gas,Painting 2,6000,,1,Road
7001,2021-09-24 11:04:48,Gas,Painting 2,5664,,1,Road
7001,2021-09-24 11:08:21,Gas,Painting 2,8184,,1,Road
7001,2021-09-24 11:16:35,Pressure,Painting 2,,400,1,Road
7001,2021-09-24 11:17:17,Pressure,Painting 2,702,,1,Road
7001,2021-09-24 11:19:55,Pressure,Painting 2,595,,1,Road
7001,2021-09-24 11:27:40,Gas,Gloss Finish,,10700,1,Road
7001,2021-09-24 11:27:40,Temperature,Gloss Finish,,105,1,Road
7001,2021-09-24 11:28:49,Voltage,Gloss Finish,,362.5,1,Road
7001,2021-09-24 11:32:17,Voltage,Gloss Finish,146,,1,Road
7001,2021-09-24 11:35:32,Gas,Gloss Finish,1179,,1,Road
7001,2021-09-24 11:42:00,Gas,Gloss Finish,1360,,1,Road
7001,2021-09-24 11:44:52,Gas,Gloss Finish,1840,,1,Road
7001,2021-09-24 11:50:36,Temperature,Gloss Finish,119.6,,1,Road
7001,2021-09-24 11:53:27,Temperature,Gloss Finish,103.6,,1,Road
7001,2021-09-24 11:55:01,Temperature,Gloss Finish,115.5,,1,Road
7001,2021-09-24 12:05:35,Voltage,Shutter Closing,,83,1,Road
7001,2021-09-24 12:08:54,Voltage,Shutter Closing,109.25,,1,Road
7001,2021-09-24 12:11:01,Voltage,Shutter Closing,96,,1,Road
7001,2021-09-24 12:16:05,Current,Shutter Closing,,8.25,1,Road
7001,2021-09-24 12:27:38,Current,Shutter Closing,5.16,,1,Road
7001,2021-09-24 12:31:20,Current,Shutter Closing,4.446,,1,Road
7001,2021-09-24 12:32:05,Current,Shutter Closing,6.642,,1,Road
7002,2021-09-25 00:55:07,Temperature,Warming Up,,107,0,Hybrid
7002,2021-09-25 00:59:34,Temperature,Warming Up,116,,0,Hybrid
7002,2021-09-25 01:49:28,Temperature,Warming Up,120.6,,0,Hybrid
7002,2021-09-25 02:08:23,Temperature,Warming Up,139,,0,Hybrid
7002,2021-09-25 02:10:17,Temperature,Warming Up,93.45,,0,Hybrid
7002,2021-09-25 02:35:53,Temperature,Warming Up,71,,0,Hybrid
7002,2021-09-25 03:36:53,Current,Shutter Open,,10.656,0,Hybrid
7002,2021-09-25 03:57:38,Current,Shutter Open,10.608,,0,Hybrid
7002,2021-09-25 04:58:35,Current,Shutter Open,6.004,,0,Hybrid
7002,2021-09-25 05:09:44,Current,Shutter Open,7.36,,0,Hybrid
7002,2021-09-25 05:22:08,Current,Shutter Open,8.814,,0,Hybrid
7002,2021-09-25 05:40:27,Voltage,Shutter Open,,435,0,Hybrid
7002,2021-09-25 05:44:20,Voltage,Shutter Open,147,,0,Hybrid
7002,2021-09-25 06:39:49,Voltage,Shutter Open,166.5,,0,Hybrid
7002,2021-09-25 07:14:16,Voltage,Shutter Open,190,,0,Hybrid
7002,2021-09-25 07:19:41,Voltage,Shutter Open,450,,0,Hybrid
7002,2021-09-25 07:53:36,Voltage,Shutter Open,458.7,,0,Hybrid
7002,2021-09-25 08:48:00,Voltage,Shutter Open,450,,0,Hybrid
7002,2021-09-25 08:58:09,Voltage,Shutter Open,,516,0,Hybrid
7002,2021-09-25 09:21:14,Voltage,Shutter Open,400,,0,Hybrid
7002,2021-09-25 09:54:56,Gas,Painting 1,,5720,0,Hybrid
7002,2021-09-25 10:07:30,Gas,Painting 1,5360,,0,Hybrid
7002,2021-09-25 10:55:18,Gas,Painting 1,4305,,0,Hybrid
7002,2021-09-25 11:07:13,Gas,Painting 1,4368,,0,Hybrid
7002,2021-09-25 11:36:34,Pressure,Painting 1,,505,0,Hybrid
7002,2021-09-25 11:45:45,Pressure,Painting 1,570,,0,Hybrid
7002,2021-09-25 12:05:54,Pressure,Painting 1,625,,0,Hybrid
7002,2021-09-25 12:56:19,Gas,Painting 2,,7920,0,Hybrid
7002,2021-09-25 13:23:57,Gas,Painting 2,4850,,0,Hybrid
7002,2021-09-25 13:27:03,Gas,Painting 2,5074,,0,Hybrid
7002,2021-09-25 13:38:43,Gas,Painting 2,4402,,0,Hybrid
7002,2021-09-25 13:55:36,Pressure,Painting 2,,410,0,Hybrid
7002,2021-09-25 13:58:47,Pressure,Painting 2,516,,0,Hybrid
7002,2021-09-25 14:34:49,Pressure,Painting 2,540,,0,Hybrid
7002,2021-09-25 15:46:10,Temperature,Gloss Finish,,151.2,0,Hybrid
7002,2021-09-25 15:49:31,Gas,Gloss Finish,,10200,0,Hybrid
7002,2021-09-25 15:49:34,Voltage,Gloss Finish,,257.5,0,Hybrid
7002,2021-09-25 15:52:33,Voltage,Gloss Finish,252,,0,Hybrid
7002,2021-09-25 17:11:18,Gas,Gloss Finish,1278,,0,Hybrid
7002,2021-09-25 17:19:59,Gas,Gloss Finish,930,,0,Hybrid
7002,2021-09-25 17:45:35,Gas,Gloss Finish,1520,,0,Hybrid
7002,2021-09-25 17:48:18,Temperature,Gloss Finish,153.4,,0,Hybrid
7002,2021-09-25 18:04:46,Temperature,Gloss Finish,105,,0,Hybrid
7002,2021-09-25 18:25:52,Temperature,Gloss Finish,139.5,,0,Hybrid
7002,2021-09-25 20:31:00,Voltage,Shutter Closing,,149,0,Hybrid
7002,2021-09-25 20:49:51,Voltage,Shutter Closing,105.45,,0,Hybrid
7002,2021-09-25 21:09:09,Voltage,Shutter Closing,89,,0,Hybrid
7002,2021-09-25 23:34:08,Current,Shutter Closing,,7.04,0,Hybrid
7002,2021-09-25 23:45:14,Current,Shutter Closing,8.4,,0,Hybrid
7002,2021-09-25 23:53:08,Current,Shutter Closing,4.047,,0,Hybrid
7002,2021-09-25 23:56:27,Current,Shutter Closing,4.752,,0,Hybrid
